+====================+===================+==============================================================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                                                          |
+====================+===================+==============================================================================================+
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[69]/D  |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[50]/D  |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_ar_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[31]/D |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[4]/D   |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[41]/D  |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/widx_widx_gray/output_chain_1/sync_2_reg/D  |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[66]/D  |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[22]/D  |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[27]/D  |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[60]/D  |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_aw_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[57]/D |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[23]/D  |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[7]/D   |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[53]/D  |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[10]/D  |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[28]/D  |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[6]/D   |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[38]/D  |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[52]/D  |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[43]/D  |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[42]/D  |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[33]/D  |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[59]/D  |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[36]/D  |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[37]/D  |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[2]/D   |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[0]/D   |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/widx_widx_gray/output_chain/sync_2_reg/D    |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_aw_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[41]/D |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[11]/D  |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[67]/D  |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[55]/D  |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[51]/D  |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[24]/D  |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[47]/D  |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[29]/D  |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[62]/D  |
| clk_out1_pll       | clk_out1_pll      | platform/ddr/island/axi4asink/bundleOut_0_w_sink/io_deq_bits_deq_bits_reg/cdc_reg_reg[3]/D   |
